"LANGUAGE","繁體中文","Language name (in native language)."
"MOD_NAME","線性放置工具","Mod name, used for in-game UI."
"MOD_DESCRIPTION","以線性方式大量放置擺件、樹木和建築","Mod description, visibile in content manager."
"SPACING","間距","Slider title - spacing between objects."
"ROTATION","旋轉","Slider title - rotation"
"ROTATION_RELATIVE","相對旋轉角度","Rotation toggle tooltip"
"ROTATION_ABSOLUTE","絕對旋轉角度","Rotation toggle tooltip"
"FENCEMODE","柵欄模式","Mode tooltip"
"LINE_OPTIONS","放置選項","Mode tooltip"
"POINT","個別放置","Mode tooltip"
"STRAIGHT_LINE","直線放置","Mode tooltip"
"CURVE","曲線放置","Mode tooltip"
"FREEFORM","自由形狀放置","Mode tooltip"
"CIRCLE","圓圈放置","Mode tooltip
STEP_ENABLED""","Step mode","Mode tooltip"
"STEP","放置","Single-step action button"
"SKIP","忽略放置","Single-step action button"
